Notes,Score,Evidence
Does your software use an accepted coding standard or convention?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/CODE_OF_CONDUCT.md
 Does your software allow data to be imported and exported using open data formats?,Yes,
Does your software allow communications using open communications protocols?,Yes,
Is your software cross-platform compatible?,Yes,The software can be deployed on any platform
Does your software adhere to appropriate accessibility conventions or standards?,Yes,Accesible by all people
Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,It is accessible by all people
Is your source code stored in a repository under version control?,Yes,It is stored under GIT version Control.
Is each source code release a snapshot of the repository?,Yes,
Are releases tagged in the repository?,Yes,https://github.com/qchen59/ScheduleBot/compare/main...War-Keeper:ScheduleBot:main
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",,
Do you back-up your repository?,Yes,Forked by many users
Do you provide publicly-available instructions for building your software from the source code?,Yes,By using the Docker
" Can you build, or package, your software using an automated tool?",Yes,By using the Docker
 Do you provide publicly-available instructions for deploying your software?,Yes,Readme File https://github.com/qchen59/ScheduleBot/blob/main/README.md
Does your documentation list all third-party dependencies?,Yes,Readme File https://github.com/qchen59/ScheduleBot/blob/main/README.md
Does your documentation list the version number for all third-party dependencies?,Yes,Readme File https://github.com/qchen59/ScheduleBot/blob/main/README.md
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/requirements.txt
Can you download dependencies using a dependency management tool or package manager?,Yes,"Yes, it is give in README file .  pip install -r requirements.txt"
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,The test and build checks have been done in travis.yml.
Do you have an automated test suite for your software?,Yes,https://github.com/War-Keeper/ScheduleBot/tree/main/test
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/.github/workflows/python-app.yml
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/.github/workflows/python-app.yml
Are your test results publicly visible?,Yes,
Are all manually-run tests documented?,No,
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
Does your website state how many projects and users are associated with your project?,Yes,Contributors are listed on the github.
Do you provide success stories on your website?,No,
Do you list your important partners and collaborators on your website?,Yes,https://github.com/War-Keeper/ScheduleBot/graphs/contributors
Do you list your project's publications on your website or link to a resource where these are available?,No,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Can users subscribe to notifications to changes to your source code repository?,Yes,
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/CONTRIBUTING.md
Do you have a contributions policy?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/CONTRIBUTING.md
Is your contributions' policy publicly available?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/CONTRIBUTING.md
Do contributors keep the copyright/IP of their contributions?,No,
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
Does each of your source code files include a copyright statement?,Yes,
Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/LICENSE
Is your software released under an open source licence?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/LICENSE
Is your software released under an OSI-approved open-source licence?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/LICENSE
Does each of your source code files include a licence header?,Yes,https://github.com/War-Keeper/ScheduleBot/blob/main/LICENSE
Do you have a recommended citation for your software?,Yes,In the DOI badge
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)",Yes,https://github.com/War-Keeper/ScheduleBot/projects/1
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
