Notes,Score,Evidence
Is your contributions' policy publicly available?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/CODE_OF_CONDUCT.md
Do contributors keep the copyright/IP of their contributions?,No,
Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
Does each of your source code files include a copyright statement?,No,
Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/LICENSE
Is your software released under an open source licence?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/LICENSE
Is your software released under an OSI-approved open-source licence?,Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/LICENSE
Does each of your source code files include a licence header?,No,
Do you have a recommended citation for your software?,Yes,In the DOI badge
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)",Yes,https://github.com/SEProjGrp5/ScheduleBot/blob/main/README.md
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
